game,move,time,winner
0,"[0, 1]",1701802530,2
0,"[1, 1]",1701802530,2
0,"[1, 0]",1701802530,2
0,"[2, 0]",1701802531,2
0,"[2, 1]",1701802531,2
0,"[2, 2]",1701802531,2
0,"[1, 2]",1701802532,2
0,"[0, 2]",1701802532,2
1,"[0, 1]",1701802533,1
1,"[0, 2]",1701802534,1
1,"[1, 1]",1701802534,1
1,"[2, 1]",1701802535,1
1,"[1, 2]",1701802535,1
1,"[1, 0]",1701802536,1
1,"[0, 0]",1701802537,1
1,"[2, 0]",1701802538,1
1,"[2, 2]",1701802538,1
2,"[1, 1]",1701802539,1
2,"[0, 0]",1701802541,1
2,"[0, 1]",1701802541,1
2,"[1, 0]",1701802542,1
2,"[2, 1]",1701802542,1
3,"[1, 1]",1701802543,1
3,"[1, 2]",1701802544,1
3,"[0, 1]",1701802544,1
3,"[1, 0]",1701802545,1
3,"[2, 1]",1701802545,1
4,"[1, 2]",1701802546,0
4,"[0, 2]",1701802546,0
4,"[0, 1]",1701802547,0
4,"[1, 1]",1701802547,0
4,"[1, 0]",1701802548,0
4,"[0, 0]",1701802548,0
4,"[2, 2]",1701802549,0
4,"[2, 1]",1701802550,0
4,"[2, 0]",1701802550,0
5,"[1, 1]",1701802551,0
5,"[1, 0]",1701802551,0
5,"[0, 1]",1701802552,0
5,"[2, 1]",1701802552,0
5,"[1, 2]",1701802553,0
5,"[0, 2]",1701802553,0
5,"[0, 0]",1701802554,0
5,"[2, 2]",1701802554,0
5,"[2, 0]",1701802555,0
6,"[1, 1]",1701802556,0
6,"[1, 0]",1701802556,0
6,"[0, 1]",1701802556,0
6,"[0, 2]",1701802557,0
6,"[1, 2]",1701802557,0
6,"[2, 1]",1701802557,0
6,"[2, 2]",1701802557,0
6,"[0, 0]",1701802558,0
6,"[2, 0]",1701802558,0
7,"[1, 2]",1701802558,1
7,"[0, 1]",1701802559,1
7,"[0, 0]",1701802559,1
7,"[1, 0]",1701802559,1
7,"[1, 1]",1701802559,1
7,"[2, 1]",1701802559,1
7,"[2, 2]",1701802560,1
8,"[1, 0]",1701802560,1
8,"[0, 1]",1701802560,1
8,"[0, 2]",1701802561,1
8,"[1, 2]",1701802561,1
8,"[1, 1]",1701802561,1
8,"[2, 1]",1701802561,1
8,"[2, 0]",1701802561,1
9,"[2, 2]",1701802562,1
9,"[1, 2]",1701802562,1
9,"[1, 1]",1701802563,1
9,"[0, 1]",1701802563,1
9,"[0, 2]",1701802563,1
9,"[2, 0]",1701802563,1
9,"[2, 1]",1701802564,1
9,"[1, 0]",1701802564,1
9,"[0, 0]",1701802564,1
10,"[1, 2]",1701802565,0
10,"[1, 1]",1701802565,0
10,"[1, 0]",1701802565,0
10,"[0, 1]",1701802565,0
10,"[0, 2]",1701802566,0
10,"[2, 2]",1701802566,0
10,"[2, 1]",1701802567,0
10,"[2, 0]",1701802567,0
10,"[0, 0]",1701802567,0
11,"[1, 2]",1701802568,1
11,"[0, 2]",1701802568,1
11,"[1, 1]",1701802568,1
11,"[0, 1]",1701802569,1
11,"[2, 2]",1701802569,1
11,"[2, 1]",1701802569,1
11,"[1, 0]",1701802569,1
12,"[1, 1]",1701802572,1
12,"[1, 2]",1701802573,1
12,"[0, 2]",1701802573,1
12,"[0, 0]",1701802573,1
12,"[1, 0]",1701802573,1
12,"[2, 1]",1701802574,1
12,"[2, 0]",1701802574,1
13,"[1, 2]",1701802574,0
13,"[1, 1]",1701802575,0
13,"[0, 1]",1701802575,0
13,"[0, 0]",1701802575,0
13,"[1, 0]",1701802575,0
13,"[2, 1]",1701802576,0
13,"[2, 2]",1701802576,0
13,"[0, 2]",1701802576,0
13,"[2, 0]",1701802576,0
14,"[1, 1]",1701802577,1
14,"[1, 0]",1701802577,1
14,"[0, 0]",1701802577,1
14,"[0, 1]",1701802578,1
14,"[0, 2]",1701802578,1
14,"[1, 2]",1701802578,1
14,"[2, 2]",1701802578,1
15,"[2, 1]",1701802579,0
15,"[2, 0]",1701802579,0
15,"[1, 0]",1701802579,0
15,"[1, 1]",1701802579,0
15,"[0, 0]",1701802580,0
15,"[0, 1]",1701802580,0
15,"[0, 2]",1701802580,0
15,"[1, 2]",1701802581,0
15,"[2, 2]",1701802581,0
16,"[1, 1]",1701802581,1
16,"[0, 2]",1701802582,1
16,"[1, 2]",1701802582,1
16,"[0, 1]",1701802583,1
16,"[0, 0]",1701802583,1
16,"[1, 0]",1701802583,1
16,"[2, 0]",1701802583,1
16,"[2, 1]",1701802583,1
16,"[2, 2]",1701802584,1
17,"[0, 0]",1701852047,1
17,"[1, 0]",1701852049,1
17,"[1, 1]",1701852050,1
17,"[2, 1]",1701852052,1
17,"[2, 2]",1701852053,1
